Timestamp,How many giveaways have you run for marketing purposes?,How are you related to the development team for the game being given away?,At what stage is the game being given away,Has the game being given away been bundled?,How many copies/keys are being given away?,What was the main reason for the giveaway?,What was the secondary reason for the giveaway?,Was the giveaway a success based on its marketing purposes?,Did you measure (and analyse) the results of the giveaway?,"If the results were measured, how was this done, and what were the results?"
2016/07/09 12:15:53 PM GMT+8,10+,I have no connection to the dev team,Just released,No,Oct-49,Im a trashcan and i giveaway stuff i got for free,Im piece of shit,No,Yes,Ppl should not get CV for such giveaways .... 
2016/07/09 12:21:07 PM GMT+8,1,I have no connection to the dev team,Just released,No,01-Sep,The joy of giving,Increase awareness of the game been given away,Yes,No,
2016/07/09 1:24:22 PM GMT+8,1,I am part of the dev team,Normally available for sale,No,50-99,Increase awareness/sales of the game been given away,The joy of giving,No,Yes,Based on steam sales
2016/07/09 5:47:35 PM GMT+8,1,I have no connection to the dev team,Normally available for sale,Yes,50-99,The joy of giving,Increase awareness of the game been given away,No,No,
2016/07/12 12:51:55 PM GMT+8,10+,I am part of the dev team,Normally available for sale,Yes,50-99,Increase awareness/sales of the game been given away,The joy of giving,Yes,Yes,Speaking on my behalf and on behalf of my own game, as I promoted games for other developers in the past. Making giveaways for [edited] (from 50 to 133 copies) on SteamGifts I've noticed a big increase on wishlist additions, and a good % of those have turned into a buy later (my own wishlist turned into buys are around 20%). Can't tell how much its from SG, but SG its my main source of advertising together with bundles so I assume its at least 50%. And for each 50 copies I giveaway, I notice 2-3 new reviews days after the giveaway ends. And assuming that something like 50 out of 500 of buyers write reviews, I guess its a good number. Can't tell if its all influence of SteamGifts, but as myself often add games to wishlist because I saw them on SteamGifts, I assume its a positive result and because of SG. Also, this is a userbase for people wanting to win games, so if you can take awareness from it, and buyers, its a potential target audience that aims for new games. SG is full of collectors and people wanting someting new. Specially if you plan to have a sale or add your game to a bundle. I often check the stats page of my game, and I can assume SteamGifts has been helpful on increasing awareness of my game. And as a user, I often buy games because I met them on SteamGifts. Games I would never heard of otherwise. In short, this is a target audience composed by people that leech and people who buys. Who buys, will keep an eye to your game in the future, if in an sale or in a bundle, and it the more they see it in SteamGits, more they will want to have in the future. For the leechers, they will be pleased to win and it can result in a review. As I made giveaways for other developers in the past, I strongly recommend SteamGifts for: Newly released games, to increase awareness; and cheap games, for the same reason. In the last case, it can result in imediate buy. In the first case, it can result in a buy in the future. It may not be a good platform for games released some time ago, unless the game didn't have a proper marketing campaign for release."
2016/07/13 8:51:31 PM GMT+8,2-5,I am acting on behalf of the dev team,Just released,Yes,50-99,Increase awareness/sales of the game been given away,None,No,No,
2016/07/16 3:14:26 PM GMT+8,10+,I have no connection to the dev team,Early Access,Yes,50-99,The joy of giving,The joy of giving,Yes,Yes,
2016/07/16 9:50:04 PM GMT+8,1,I have no connection to the dev team,Normally available for sale,Yes,50-99,The joy of giving,The joy of giving,No,No,
2016/07/17 12:51:59 PM GMT+8,10+,I am part of the dev team,Early Access,No,1000+,Take over the world,None,No,No,
2016/07/17 4:54:37 PM GMT+8,,I have no connection to the dev team,Normally available for sale,Yes,01-Sep,The joy of giving,None,No,No,
2016/07/18 5:15:24 AM GMT+8,2-5,I am part of the dev team,Normally available for sale,No,01-Sep,Increase awareness/sales of the game been given away,Increase awareness of social media channels,No,Yes,"number of entries was compared to number of clicks through to game or other sites, and also to number of follows or subscriptions as compared to usual. in both cases, the number of clicks, follows, and subscriptions were barely above normal."
2016/07/25 4:02:58 PM GMT+8,2-5,I am part of the dev team,Early Access,No,100-999,Increase awareness/sales of the game been given away,None,No,Yes,We use steam statistics and google analytics. During and after the period of giveaways we didn't notice some difference in terms of : sales or reviews. Only a very little increase of the wish list
